posten;leistung;stunden_oder_pauschale;stundensatz_eur;netto_eur;status
Mandatsannahme + Erstgespräch;Hagenroth + Quasthoff-Prügelmann + Refrendarin 02.04.2026;5.0;380;1900;abgerechnet
Beweissicherung;Quasthoff-Prügelmann + Pfistermeier 14.-16.03.2026 (vorab);7.5;320;2400;abgerechnet
Interne Beschwerde Art. 20 DSA;Schriftverkehr + Akten;6.0;320;1920;abgerechnet
DSGVO-Auskunftsverfahren;Quasthoff-Prügelmann;4.5;320;1440;abgerechnet
Marktanalyse Lindheim;Pfistermeier (90 EUR);9.0;90;810;abgerechnet
Eilantrag-Entwurf;Hagenroth;11.0;380;4180;laufend
DSC-Beschwerde Entwurf;Hagenroth + Quasthoff-Prügelmann;6.5;350;2275;laufend
Strategie + Risikobewertung;Hagenroth + Quasthoff-Prügelmann;5.0;350;1750;laufend
E-Mail-Wechsel Dublin Art.-13-Vertreter;Hagenroth;1.5;380;570;abgerechnet
Akteneinarbeitung Forschungsantrag Vogelbroich;Quasthoff-Prügelmann;2.5;320;800;abgerechnet
Geplant: Einreichung Eilantrag + Gerichtsgebühr;Pauschale;1;0;1800;geplant
Geplant: BKartA-Beschwerde;Pfistermeier + Hagenroth;8;225;1800;geplant
Geplant: BayLDA-Beschwerde;Pfistermeier;3;90;270;geplant
Geplant: 4 Wochen Begleitung Eilverfahren;Hagenroth + Quasthoff-Prügelmann;20;350;7000;geplant
Geplant: Hauptsacheklage (falls notwendig);Hagenroth + Quasthoff-Prügelmann;60;350;21000;geplant
Geplant: EuG-Streithilfe (falls Glitzerwald gegen VLOP-Designation klagt);Hagenroth;30;420;12600;geplant
SUMME bisher abgerechnet;;;;9840;
SUMME laufend;;;;8205;
SUMME geplant;;;;44470;
SUMME GESAMT (vorbehaltlich);;;;62515;
