Position;Betrag_EUR;Faelligkeit;Bemerkung
Notar Beurkundung Satzung;700;mit Beurkundung;individuelle Satzung Vollbeurkundung
Notar Anmeldung Handelsregister;100;mit Beurkundung;
Handelsregister Eintragung;150;nach Anmeldung;Amtsgericht Charlottenburg
Notar Beurkundung Kapitalerhoehung Pfaffenrode;500;Closing;separater Akt
Notar Prokura-Anmeldung Mira;80;nach HR-Eintragung;
Steuerberater Setup;800;erste Wochen;Fragebogen Erfassung plus Buchhaltungs-Setup
Anwalt Side-Letter und IP-Assignments;1800;vor Closing;
Anwalt Lizenzvertrag Domain Repo;500;vor Beurkundung;
Gewerbeanmeldung Bezirksamt Mitte;20;nach HR-Eintragung;
Berufshaftpflichtversicherung Jahresbeitrag;600;Q3 2026;
D-O-Versicherung Jahresbeitrag;800;Q3 2026;Pflicht ab Pfaffenrode-Investment
IHK Grundbeitrag;75;Q4 2026;Existenzgruenderrabatt
Bankkonto Geschaeftsgiro Eroeffnung;0;Mai 2026;Sonderaktion XX-Bank
Datenschutz Setup Website Cookie Consent;500;Q3 2026;
Cloud-Setup AWS Hetzner;1200;laufend pro Monat;ab Q3 2026
Marketing-Site Webentwicklung;3500;Q3 2026;extern vergeben
Summe Einmalkosten Gruendung und Setup;10825;;
