Sachverhalt;Quasthoff_V1_18_03_2026;Quasthoff_V2_14_04_2026;Aktenstand_Belege;Konstanz_Bewertung
Erster Spesen-Konflikt Datum;15.10.2024;22.10.2024;Mail 06.11.2024 Sachverhalt 22.10.2024;Inkonstanz: Datum schwankt um 7 Tage
Anzahl Bargeldabhebungen Oktober 2024;vier;sechs;CSV zeigt fünf Abhebungen Oktober;Inkonstanz: vier vs sechs vs tatsächlich fünf
Erstes Gespräch über Insolvenzantragspflicht;November 2024;Dezember 2024;Engelmeier-Mail 18.12.2024;Inkonstanz: November vs Dezember
Anzahl Personalakte-Vermerke vor Trennung Quasthoff;zwei;einer;Aktenstand zeigt einen am 15.12.2024;Inkonstanz: zwei vs einer
KfW-Coronahilfe Antrag Zeitpunkt;im Dezember 2022;im November 2022;Antragsmail 16.11.2022;Inkonstanz: November vs Dezember
SV-Beitrag-Verspätung erstmals;Oktober 2024;Oktober 2024;Aktenstand bestätigt;Konstanz: ja
Pellbach beschimpft Quasthoff;ja in V1;ja in V2;keine Aktenstandsbelege;Aussage gegen keinen Beleg
Frieda Pellbach mit-anwesend bei Mahnung;ja;nicht erwähnt;Mail-Cc 03.11.2024 zeigt Frieda;Inkonstanz: ja vs nicht erwähnt
Bargeldabhebung Schaufenster 11.11.2024 Zeugin gesehen;persönlich am Schalter;via Sicherheitsfilm später erkannt;Sparkassen-Sicherheitsfilm bestätigt nur Abhebung 11.11.;Aussagen-Widerspruch zur Sehensquelle
Edelweiss Holdings erstmals erwähnt;in V1;in V2 mit Datum 28.11.2024;Mail-Konvolut zeigt Verwendungszweck 28.11.2024;Konstanz: nach V2 plausibel
