KW,Anfangsbestand,Kunden,Sonstige Einzahlungen,Payroll,Steuern SV,Lieferanten,Miete Leasing,Debt Service,Deal Kosten,Sonstige,Kommentar
21,840000,120000,0,0,0,180000,42000,0,35000,25000,Start nach Datenraumöffnung
22,678000,220000,0,290000,58000,130000,0,0,55000,20000,Lohn und SV fällig
23,365000,180000,0,0,96000,160000,42000,45000,45000,25000,USt und Debt Service
24,132000,260000,0,0,0,210000,0,0,40000,22000,Lieferantenstopp droht
25,120000,240000,0,290000,58000,120000,42000,0,30000,18000,Payroll zweite Runde
26,-198000,310000,0,0,0,150000,0,45000,25000,20000,Covenant-Waiver offen
27,-128000,280000,0,0,96000,140000,42000,0,25000,20000,USt nächste Periode
28,-171000,300000,0,290000,58000,120000,0,0,25000,20000,erneute Payroll
29,-384000,330000,0,0,0,130000,42000,45000,25000,20000,Debt Service
30,-316000,340000,0,0,96000,125000,0,0,25000,20000,USt
31,-242000,350000,0,290000,58000,110000,42000,0,25000,20000,Payroll
32,-437000,360000,0,0,0,105000,0,45000,25000,20000,Debt Service
33,-272000,370000,0,0,96000,100000,42000,0,25000,20000,USt
