Monat;Anfangsbestand;KP-Zufluss;Massekosten;Verwalter-Verguetung;Auszahlungen an Glaeubiger;Endbestand
04/2026;0;0;-8200;-12000;0;-20200
05/2026;-20200;0;-7400;-15500;0;-43100
06/2026;-43100;0;-9100;-16700;0;-68900
07/2026;-68900;400000;-11200;-22000;0;297900
08/2026;297900;0;-3400;-2500;0;292000
09/2026;292000;0;-1900;-2300;0;287800
10/2026;287800;0;-1500;-2100;0;284200
11/2026;284200;0;-1500;-2100;0;280600
12/2026;280600;0;-1500;-2100;0;277000
01/2027;277000;0;-1500;-2100;-50000;223400
02/2027;223400;0;-1500;-2100;-50000;169800
03/2027;169800;0;-1500;-2100;-50000;116200
