lfd_nr,gläubiger,position,hauptforderung_eur,zinsbeginn,zinsende_angemeldet,zinsende_korrekt,zinssatz,angemeldete_zinsen_eur,korrekte_zinsen_eur,differenz_eur,problem,entscheidung
1,Havelbank AG,Darlehen HB-44-901,150000.00,2026-01-01,2026-05-31,2026-04-30,9.50% p.a.,3562.50,4759.25,-1196.75,Angemeldeter Zeitraum endet nach Eröffnung (Mai 2026 enthalten); zu niedrige Berechnungsbasis wegen fehlender Tilgungsberücksichtigung; ne ultra petita: nur angemeldeter Betrag feststellungsfähig,Korrekte Zinsen nur bis 30.04.2026; angemeldete 3562.50 EUR akzeptiert (ne ultra petita)
2,Solarteile Nord GmbH,Rechnung SN-2026-018,5203.30,2026-04-10,2026-05-10,2026-04-30,5 Prozentpunkte über Basiszins (gesamt ca. 9%),42.00,37.54,4.46,Zinszeitraum endet nach Eröffnung; korrekt ist Stichtag 30.04.2026; angemeldet leicht zu hoch (20 Tage statt 10. Mai),Feststellung 37.54 EUR; Differenz 4.46 EUR bestreiten
3,Gründerkreis Phoenix GbR,Gesellschafterdarlehen,85000.00,2024-08-12,2026-04-30,2026-04-30,7.50% p.a.,9796.23,9796.23,0.00,Zinszeitraum korrekt (Ende Eröffnungstag); allerdings Forderung im Nachrang; Zinsen teilen Rang der Hauptforderung,Feststellung als Nachrangforderung § 39 InsO; Betrag korrekt
4,Gewerbepark Babelsberg GmbH,Miete (Verzugszinsen),4640.00,2026-05-01,2026-06-30,2026-04-30,5 Prozentpunkte über Basiszins,186.00,0.00,186.00,Verzugszinsen auf Mietforderung nach Eröffnung angesetzt; April-Anteil als Insolvenzforderung hatte keine Zinsen angemeldet; Zinsanspruch entsteht frühestens nach Rechnungstellung,Zinsen bestritten; kein Anspruch für Zeitraum nach Eröffnung als Insolvenzforderung
5,BKK Handwerk Mitte,Säumniszuschlag § 24 SGB IV (April),6103.33,2026-05-01,2026-05-15,2026-04-30,1% je angefangenen Monat,92.10,0.00,92.10,SZ für Zeit nach Eröffnung ist Masseforderung; nicht in Insolvenztabelle,SZ-Anteil ab 01.05.2026 aus Tabelle gestrichen; als Masseforderung gesondert anzumelden
6,Finanzamt Potsdam,Säumniszuschlag USt 02/2026,18400.00,2026-03-01,2026-04-30,2026-04-30,1% je Monat,920.00,920.00,0.00,SZ für März und April 2026; Zeitraum korrekt; beide Monate vor Eröffnung,Festgestellt; Zeitraum und Betrag korrekt
7,Lena Vogt (Alexandra Wolff als Parallele),Lohn März 2026 (Verzugszinsen),3100.00,2026-04-01,2026-06-30,2026-04-30,5 Prozentpunkte über Basiszins,97.00,19.05,77.95,Zinsen auf Lohnrückstand ab Fälligkeit (31.03.2026) korrekt; Ende jedoch nach Eröffnung angesetzt (30.06.); korrektes Ende: 30.04.2026,Zinsen nur bis Eröffnungsstichtag feststellungsfähig: 19.05 EUR; Rest bestreiten
8,Elektro Schaffner GmbH,Rechnung ESG-2026-041,8340.00,2026-04-01,2026-05-31,2026-04-30,9% p.a. (§ 288 Abs.2 BGB),208.50,62.55,145.95,Zahlungsziel 30 Tage; Verzug ab 01.04.2026; angemeldetes Zinsende 31.05. überschreitet Eröffnung; korrekt bis 30.04.2026 = 30 Tage,Zinsen festgestellt nur bis 30.04.2026: 62.55 EUR
9,Photovoltaik-Technik AG,Lizenzgebühren 2025-2026,12600.00,2025-07-01,2026-06-30,2026-04-30,gesetzlicher Zinssatz 5%,630.00,252.08,377.92,Zinsen für 2025 (Juli bis Dez.): 6 Monate = 315 EUR korrekt; Zinsen 2026 Jan.-Apr. = 210 Tage = Anteilig 365.75 EUR; aber Teilzahlung 3000 EUR Feb. 2026 nicht berücksichtigt; Restbasis nur 9600 EUR ab Feb.,Neukalkulation: 252.08 EUR; Differenz 377.92 EUR bestreiten
10,GreenTech Leasing GmbH,Leasingrückstände 2024-2026,18500.00,2024-01-01,2026-04-30,2026-04-30,Vertragsstrafe + gesetzl. Zinsen 9%,2925.00,1662.50,1262.50,Vertragszinsen (Vertragsstrafe) von monatlich 1% wegen Rückstand; allerdings Leasingvertrag enthält AGB-Klausel zur Verzinsung die möglicherweise unangemessen ist; Überprüfung § 307 BGB erforderlich,Hauptforderung 18500 EUR festgestellt; Zinsen vorläufig auf 1662.50 EUR reduziert; AGB-Prüfung läuft
