stichtag,liquide_mittel,havelbank_guthaben,ostmark_guthaben,barkasse,fällige_verbindlichkeiten,davon_lohn,davon_steuern,davon_lieferanten,davon_sonstige,kurzfristig_realisierbar,luecke,bemerkung
2026-04-10,42300.00,28800.00,12200.00,1300.00,612100.00,118000.00,74400.00,371900.00,47800.00,82000.00,487800.00,Vor Ratenplanrate Furnier Nord
2026-04-17,38420.00,26100.00,11080.00,1240.00,642300.00,118000.00,74400.00,391900.00,58000.00,79000.00,524880.00,Nach Ratenplanzahlung 18 TEUR
2026-04-24,24110.00,17400.00,6210.00,500.00,688900.00,118000.00,81200.00,430700.00,59000.00,76000.00,588790.00,Sondertilgung Havelbank 35 TEUR abgegangen
2026-05-01,19650.00,13800.00,5370.00,480.00,731200.00,118000.00,85300.00,463900.00,64000.00,69000.00,642550.00,Kein Lieferant mehr bereit ohne Vorkasse
2026-05-04,20890.00,12880.00,6770.00,1240.00,738400.00,236000.00,92340.00,271900.00,138160.00,69000.00,648510.00,Antragsdatum; Konten eingefroren durch vorläufige IV
2026-05-07,20890.00,12880.00,6770.00,1240.00,738400.00,236000.00,92340.00,271900.00,138160.00,69000.00,648510.00,Kassensturz IV; identisch mit 04.05.
2026-05-10,47390.00,36190.00,9960.00,1240.00,494400.00,0.00,92340.00,271900.00,130160.00,69000.00,447010.00,Insolvenzgeld-Vorfinanzierung 236 TEUR eingegangen; Lohn März/Apr ausbezahlt
2026-05-21,31200.00,21400.00,9800.00,0.00,201000.00,0.00,92340.00,42000.00,66660.00,18400.00,151400.00,Ende Fortführung; Erlöse Pflegeheim und Hotel eingegangen
2026-06-12,31200.00,21400.00,9800.00,0.00,201000.00,0.00,92340.00,42000.00,66660.00,18400.00,151400.00,Verfahrenseröffnung; Masseverbindlichkeiten 96 TEUR fällig
2026-07-15,68400.00,48000.00,20400.00,0.00,96000.00,0.00,21000.00,42000.00,33000.00,0.00,27600.00,Maschinenkauf-Anzahlung 50 TEUR eingegangen
2026-08-01,249200.00,180000.00,69200.00,0.00,96000.00,0.00,21000.00,42000.00,33000.00,0.00,0.00,EML-Zahlung Maschinenblock 237 TEUR eingegangen; Masseverbindlichkeiten beglichen
