datum,empfaenger,betrag_eur,zweck,konto,ausnahme_15b_abs2,ausnahme_begruendung,insolvenzreife_eingetreten,bewertung_iv,status
2026-03-05,Furnier Nord GmbH,18000.00,Ratenplanrate 1,Havelbank,nein,,nein (noch vor ZU),vertretbar; ZU noch nicht eingetreten,kein Anspruch
2026-03-15,AOK Sachsen-Anhalt,24300.00,SV-Beiträge Feb 2026,Ostmark,ja,Lohnnebenkosten; Sozialversicherungspflicht,nein,privilegierte Zahlung (§ 15b Abs 2 Satz 2 InsO),kein Anspruch
2026-03-20,Finanzamt Stendal,11200.00,Lohnsteuer Feb 2026,Havelbank,ja,steuerrechtliche Zahlungspflicht,nein,privilegierte Zahlung (§ 15b Abs 2 Satz 2 InsO),kein Anspruch
2026-03-22,Furnier Nord GmbH,18000.00,Ratenplanrate 2 (nach Rücklastschrift vom 22.03.),Havelbank,nein,,ja (Rücklastschrift = ZU-Beginn),Zahlung nach Insolvenzreife ohne Ausnahme,ANSPRUCH § 15b - zu prüfen
2026-04-02,Havelbank eG,35000.00,Sondertilgung nach Kontosperrandrohung,Havelbank,nein,,ja,Zahlung nach ZU; kein Ausnahmetatbestand,ANSPRUCH § 15b + § 131 Anfechtung
2026-04-11,Tim Brauer,12500.00,Rückzahlung Gesellschafterdarlehen,Ostmark,nein,,ja,Zahlung an Gesellschafter; § 135 InsO + § 15b,ANSPRUCH § 15b + § 135 Anfechtung
2026-04-22,Furnier Nord GmbH,12000.00,Altlieferantenrechnung Jan 2026,Havelbank,nein,,ja,Zahlung alter Verbindlichkeit nach ZU,ANSPRUCH § 15b - zu prüfen
2026-04-25,Finanzamt Stendal,8300.00,Lohnsteuer Mrz 2026,Ostmark,ja (str.),Lohnsteuerpflicht – Ausnahme umstritten nach neuerer BGH-Rspr.,ja,Prüfung Ausnahme § 15b Abs 2 Satz 2 – Lohnsteuer nach ZU,Prüfung offen
2026-04-29,Brauer Holding UG,9500.00,Managementfee ohne vertragliche Grundlage,Havelbank,nein,,ja,Zahlung an nahestehende Person ohne Rechtsgrund; § 134 + § 15b,ANSPRUCH § 15b + § 133/134 Anfechtung
2026-05-03,Energie Elbe GmbH,6700.00,Strom und Gas Fortführungszeitraum,Ostmark,ja,Masseforderung Fortführungsbetrieb – § 55 Abs 1 Nr 1 InsO,ja (aber Fortführungserlaubnis),Fortführungskosten mit IV-Zustimmung; kein § 15b-Anspruch,kein Anspruch
2026-05-06,Havelbank eG,1200.00,Kontoführungsgebühr,Havelbank,nein,,ja (aber laufend),Betrag geringfügig; kein signifikanter Anspruch,de minimis
2026-05-08,Prignitz Forst KG,22000.00,Vorkasse Furnierlieferung (Fortführung),Ostmark,ja,Masseverbindlichkeit mit Zustimmung IV; § 55 Abs 1 Nr 1,ja,Fortführungskosten; IV-Genehmigung 09.05.2026,kein Anspruch
