gruppe,glaeubigergruppe,nominalforderung_eur,sicherheitenwert_eur,plan_going_concern_eur,plan_quote_pct,regelabwicklung_fortfuehrung_eur,regelabwicklung_quote_pct,regelabwicklung_zerschlagung_eur,zerschlagung_quote_pct,delta_plan_vs_regelfortf_eur,kommentar
1,Havelbank eG (gesichert),480000,343500,343500,100.0,343500,100.0,320000,93.3,0,Sicherheiten werden in allen Szenarien verwertet; gleiche Erlöse
1b,Havelbank eG (Ausfall),136500,0,55000,40.3,25116,18.4,20000,14.7,29884,Bessere Planquote durch Going-Concern-Aufschlag
2,Lieferanten mit Fortsetzungsinteresse,71800,0,25130,35.0,13211,18.4,10534,14.7,11919,Prämie für Fortsetzungslieferung eingeplant
3a,Finanzamt Stendal,92340,0,32319,35.0,16991,18.4,13564,14.7,15328,Plan bietet FA 35 Prozent vs. 18 Prozent Regelabwicklung
3b,AOK Sachsen-Anhalt,61200,0,21420,35.0,11261,18.4,8996,14.7,10159,Wie Finanzamt
4,Arbeitnehmer (netto nach InsGeld),236000,0,82600,35.0,43424,18.4,34672,14.7,39176,Arbeitnehmer profitieren deutlich von Sanierungsplan
5,Übrige Gläubiger (Furnier/Vermieter/Leasing),207700,0,72695,35.0,38217,18.4,30532,14.7,34478,Poolrechnung übrige Gläubiger
6,Tim Brauer (nachrangig),120000,0,0,0.0,0,0.0,0,0.0,0,In allen Szenarien Quote 0 Prozent
,Gesamtquote ungesicherte Gläubiger,805540,0,289164,35.9,148220,18.4,117298,14.6,140944,Plan schlägt Regelabwicklung Fortführung um +17.5 Prozentpunkte
,Masseverbindlichkeiten und Kosten inkl IV-Vergütung,191000,0,210000,,191000,,180000,,19000,Plan erfordert höhere IV-Vergütung wegen Aufwand
,Verwertungserlös Gesamtmasse,777830,343500,870000,,777830,,680000,,92170,Plan setzt Going-Concern-Mehrwert voraus (ca. 92 TEUR)
,Investor erforderlich (Kaufpreis Auffanggesellschaft),0,0,150000,,0,,0,,150000,Bedingung: Investor zahlt 150 TEUR für Kundenstamm und Marke
,Risikofaktor Planszenario: Wahrscheinlichkeit Investor,,,30.0%,,,,,,n/a,Nur 30 Prozent Wahrscheinlichkeit eines Investors – daher Plan nicht verfolgt
