kategorie,auftraggeber,monat,netto_eur,brutto_eur,zahlungsstatus,registerzuordnung,notiz
Mandatshonorar,HansaH2,2026-02,18000,21420,bezahlt,Auftraggeberumsatz,Erstrechnung
Mandatshonorar,HansaH2,2026-03,18000,21420,bezahlt,Auftraggeberumsatz,
Mandatshonorar,HansaH2,2026-04,18000,21420,bezahlt,Auftraggeberumsatz,
Mandatshonorar,HansaH2,2026-05,18000,21420,bezahlt,Auftraggeberumsatz,Eingang 15.05.2026
Mandatshonorar,Nordsee Elektrolyse,2026-03,12500,14875,bezahlt,Auftraggeberumsatz,Erstrechnung anteilig
Mandatshonorar,Nordsee Elektrolyse,2026-04,12500,14875,offen,Auftraggeberumsatz,Mahnstand 1 14.05.2026
Mandatshonorar,Nordsee Elektrolyse,2026-05,12500,14875,offen,Auftraggeberumsatz,fällig 30.05.2026
Unterauftrag OpenGrid Logistik,HansaH2 und Nordsee anteilig,2026-05,4200,4998,bezahlt,Sachkosten Unterauftrag,vertragsgemaess
Unterauftrag OpenGrid Stakeholder Mapping,HansaH2 und Nordsee anteilig,2026-05,1500,1785,bezahlt,Unterauftrag mit Lobbyinganteil,Vermerk Variante 1+2 (siehe 03_unterauftrag)
Unterauftrag OpenGrid Argumentationspapier,HansaH2 und Nordsee anteilig,2026-05,500,595,bezahlt,Unterauftrag mit Lobbyinganteil,Vermerk Variante 1+2
Reisekosten Berlin Termin BMWK,HansaH2,2026-05,1480,1480,erstattet,Sachkosten,Hotel Aquino Belegnr. AQU-2026-0488
Reisekosten Berlin Termin MdB Albrecht,HansaH2,2026-04,720,720,erstattet,Sachkosten,Hotel Aquino Belegnr. AQU-2026-0322
Reisekosten Konsortium Termin MdB Karim,Nordsee Elektrolyse,2026-05,610,610,offen,Sachkosten,wartet auf Mandantenfreigabe
Bürokosten Berlin Spreebogen,Spreebogen Eigenkosten,2026-04,4250,4250,bezahlt,Overhead,nicht zuordenbar
Personalkosten Lea Sommer anteilig Mandat,HansaH2 und Nordsee anteilig,2026-04,6200,6200,intern,Kostenrechnung,kein Registereintrag
