Kriterium;Szenario_A_BMJ_Entwurf;Szenario_B_NKR_zentral;Szenario_C_freiwillig
Architektur;dezentral_117_AG;zentral_BfJ;freiwillig_steuerlicher_Anreiz
Anzahl_technische_Standards;3;1_eIDAS_EUDI_Wallet;variabel
Lebensbescheid;monatlich;jaehrlich_mit_Bilanz;keiner
Sanktion;Zwangsgeld_50k_und_Loeschung;Zwangsgeld_5k;keine
Erfuellungsaufwand_Wirtschaft_jaehrlich_Mio_EUR;320;80;5
Erfuellungsaufwand_Verwaltung_jaehrlich_Mio_EUR;180;45;15
Erfuellungsaufwand_Wirtschaft_einmalig_Mio_EUR;379;145;25
Erfuellungsaufwand_Verwaltung_einmalig_Mio_EUR;132;220;30
Zielereichung_skala_1_5;5;5;1
KMU_Vertraeglichkeit_skala_1_5;1;4;5
Vollzugstauglichkeit_skala_1_5;2;5;3
OZG_Anschlussfaehigkeit_skala_1_5;2;5;3
Marktoffenheit_skala_1_5;5;3;5
EU_Konformitaet_skala_1_5;3;5;2
NKR_Gesamtempfehlung;ueberarbeiten;EMPFOHLEN;nicht_zielfuehrend
Begruendung_NKR;dezentral_und_unverhaeltnismaessig_komplex;zentral_und_einfach_OZG_konform;Problem_bleibt_KMU_nehmen_nicht_teil
