timestamp,unit,event,zone,speed_m_s,operator,comment
2026-05-27T08:00:14+02:00,LM-100,route recalculated,Halle-1,0.2,system,Parameter nicht abschließend plausibilisiert
2026-05-27T08:05:14+02:00,LM-101,human detected,Halle-2,0.37,nachtmeister,
2026-05-27T08:10:14+02:00,LM-102,protective field reduced,Halle-3,0.54,remote-admin,
2026-05-27T08:15:14+02:00,LM-103,manual override,Halle-4,0.71,service,
2026-05-27T08:20:14+02:00,LM-104,near miss,Halle-1,0.88,system,
2026-05-27T08:25:14+02:00,LM-105,emergency stop,Halle-2,1.05,nachtmeister,
2026-05-27T08:30:14+02:00,LM-106,remote config sync,Halle-3,1.22,remote-admin,
2026-05-27T08:35:14+02:00,LM-107,battery warning,Halle-4,0.2,service,
2026-05-27T08:40:14+02:00,LM-108,route recalculated,Halle-1,0.37,system,
2026-05-27T08:45:14+02:00,LM-100,human detected,Halle-2,0.54,nachtmeister,
2026-05-27T08:50:14+02:00,LM-101,protective field reduced,Halle-3,0.71,remote-admin,
2026-05-27T08:55:14+02:00,LM-102,manual override,Halle-4,0.88,service,
2026-05-27T09:00:14+02:00,LM-103,near miss,Halle-1,1.05,system,
2026-05-27T09:05:14+02:00,LM-104,emergency stop,Halle-2,1.22,nachtmeister,Parameter nicht abschließend plausibilisiert
2026-05-27T09:10:14+02:00,LM-105,remote config sync,Halle-3,0.2,remote-admin,
2026-05-27T09:15:14+02:00,LM-106,battery warning,Halle-4,0.37,service,
2026-05-27T09:20:14+02:00,LM-107,route recalculated,Halle-1,0.54,system,
2026-05-27T09:25:14+02:00,LM-108,human detected,Halle-2,0.71,nachtmeister,
2026-05-27T09:30:14+02:00,LM-100,protective field reduced,Halle-3,0.88,remote-admin,
2026-05-27T09:35:14+02:00,LM-101,manual override,Halle-4,1.05,service,
2026-05-27T09:40:14+02:00,LM-102,near miss,Halle-1,1.22,system,
2026-05-27T09:45:14+02:00,LM-103,emergency stop,Halle-2,0.2,nachtmeister,
