Glaeubiger;Rechtsgrund;Forderung_brutto_EUR;Zahlung_geplant_EUR;Faelligkeit;Status_02_05_2026;Bemerkung
Lieferant_Modemueller_Berlin;Vertragliche_Lieferantenforderung_Sortiment_Winter_2025;38500;38500;15_05_2026;avisiert;Skonto_2_Prozent_bei_Zahlung_innerhalb_10_Tage_nicht_in_Anspruch
Lieferant_Stoffhaus_Wittenberg;Vertragliche_Lieferantenforderung_Saison_Fruehjahr_2026;42100;42100;20_05_2026;avisiert;-
Lieferant_Vertrieb_Sued_GmbH;Vertragliche_Lieferantenforderung_Konsignationsware_Rueckabwicklung;28200;28200;25_05_2026;avisiert;Rueckabwicklung_im_Sperrjahr_pruefen
Lieferant_Logistik_Berlin_Brandenburg;Frachtkosten_Q1_2026;14800;14800;18_05_2026;avisiert;-
Lieferant_Schneider_Berlin;Aenderungsdienstleistungen;6400;6400;15_05_2026;avisiert;-
Lieferant_Reinigung_Charlottenburg;Reinigung_Lager_und_Buero;3200;3200;15_05_2026;avisiert;-
SUMME_LIEFERANTEN;-;133200;133200;-;-;
Loehne_Mitarbeiter_April_2026_volle_Zahlung;Arbeitsvertrag_12_MA;52800;52800;30_04_2026;ueberwiesen;Beendigungs-Aufhebungsvertraege parallel
Loehne_Mitarbeiter_Mai_2026_anteilig_Pflicht;Arbeitsvertrag_12_MA;28000;28000;31_05_2026;avisiert;Aufhebung_zum_15_05_2026
Abfindungen_nach_Aufhebungsvertrag;Aufhebungsvertraege_12_MA;14400;14400;15_05_2026;avisiert;-
SV_Beitraege_April_Mai_2026;Sozialversicherung_AOK_TK_Knappschaft;11600;11600;25_05_2026;avisiert;Faelligkeit_25_des_Folgemonats
SUMME_LOEHNE_SV_ABFINDUNGEN;-;106800;106800;-;-;
FA_Berlin_Charlottenburg_USt_Q1_2026;Umsatzsteuer-Voranmeldung;18500;18500;10_05_2026;ueberwiesen;-
FA_Berlin_Charlottenburg_USt_Restdurchschlag_2025;Restzahlung_USt_Jahres-Veranlagung_2025;9200;9200;15_05_2026;avisiert;-
FA_Berlin_Charlottenburg_KSt_2025_Schaetzung;Koerperschaftsteuer_Vorauszahlung_2025;42000;42000;25_05_2026;avisiert;Schaetzung_da_KSt_Erklaerung_noch_nicht_eingereicht
FA_Berlin_Charlottenburg_GewSt_2025_Schaetzung;Gewerbesteuer_Vorauszahlung_2025;14800;14800;25_05_2026;avisiert;Schaetzung_analog
FA_Berlin_Charlottenburg_Solz_2025;Solidaritaetszuschlag_KSt;2310;2310;25_05_2026;avisiert;-
SUMME_FA;-;86810;86810;-;-;
GESAMT_ZAHLUNG_aus_Cash;Befriedigung_aller_nicht_nachrangigen_Glaeubiger;326810;326810;-;-;
Cash_vor_Befriedigung_15_04_2026;-;240000;-;-;-;Stand_Aktenstueck_4
Forderungseinzug_geplant_aus_Mai_Juni_2026;Restforderungen_Kunden_Q1_2026;60000;-;-;in_Bearbeitung;-
Cash_nach_Befriedigung_voraussichtlich;-;-26810;-;-;Liquiditaetsluecke;wird_durch_Forderungseinzug_60_000_kompensiert_und_Strassburger_uebernimmt_persoenlich_falls_noetig
Nachrangiges_Gesellschafterdarlehen_Strassburger;Darlehensvertrag_mit_qualifiziertem_Rangruecktritt_2_400_000_EUR;2400000;0;-;steht_im_Plan_passiviert;Tilgungsvorbehalt_zukuenftiges_freies_Vermoegen_BFH_XI_R_32_18
GESAMT_VERBINDLICHKEITEN;-;2726810;326810;-;-;Differenz_2_400_000_EUR_=_Gesellschafterdarlehen
