datum,ereignis,beleg,risiko,notiz
2026-01-04,Frau Reuter beim Vater im Krankenhaus Halle,Privatreise,Zustellfiktion vom 12.01.2026,bis 18.01.2026 abwesend
2026-01-12,angebliche Kostensenkungsaufforderung Jobcenter,nicht im Besitz,Bestreiten Zugang,Frau Reuter erinnert sich nicht
2026-01-18,Frau Reuter zurück in Leipzig,—,—,
2026-02-08,Meldung Fensterdichtung an Hausverwaltung,E-Mail,Belege für Mangel der Wohnung,Bitte um Reparatur
2026-02-13,Antwort Hausverwaltung,E-Mail,Verzögerung,Prüfung im Frühjahr
2026-04-09,Heizkostenabrechnung 812.44 EUR Nachzahlung,Heizkostenabrechnung Klingspor,Kausalität Preissteigerung,Erdgaspreis +55 Prozent
2026-04-14,Antrag Übernahme Heizkostennachzahlung bei Jobcenter,Antrag und Anlagen,Beweis Antrag,
2026-04-18,Bescheid Jobcenter Ablehnung und KdU-Absenkung,Bescheid 18.04.2026,Fristbeginn Widerspruch,Zugang 22.04.2026
2026-04-22,Zugang Bescheid,Notiz Frau Reuter,Beweis Zugang,Umschlag nicht aufgehoben
2026-04-25,Widerspruch per Fax,Faxbericht OK,Fristwahrung,7 Seiten
2026-04-28,Mahnung Fensterdichtung an Hausverwaltung,E-Mail,Belege für Mangel der Wohnung,
2026-05-04,Telefonat Jobcenter Hotline,Notiz,Eingang ungeklärt,Wartezeit 22 Min
2026-05-12,Telefonat Jobcenter Team 12,Notiz,Eingang bestätigt,Sachbearbeiterin nicht erreichbar
2026-05-19,Widerspruchsbescheid,Bescheid Jobcenter,Klagefrist startet,
2026-05-20,Aufgabe zur Post Widerspruchsbescheid,Umschlagsstempel,Zugangsnachweis,
2026-05-23,Zugang Widerspruchsbescheid,Notiz und Umschlagsfoto,Beweis Zugang,Klagefrist bis 23.06.2026
2026-05-26,Telefonberatung Sozialverband VdK,Notiz,Frühester Beratungstermin 18.06.2026,Kostenfreiheit § 183 SGG
2026-05-26,Erste Mahnung Hausverwaltung,Mahnung Klingspor,Zahlungsdruck,Bis 03.06.2026 Rückmeldung
2026-05-26,Antwortbrief an Hausverwaltung Entwurf,Briefentwurf,noch nicht abgeschickt,Ratenangebot 40 EUR
2026-05-27,Selbstvertreter-Check gestartet,Erstnotiz,Eilbedarf prüfen,Konto 118.32 EUR
2026-05-28,Zweite Mahnung Hausverwaltung mit Kündigungsandrohung,Mahnung Klingspor,Eilbedarf,Datum 04.06.2026 auf Brief Druckfehler
2026-06-10,Fälligkeit Heizkostennachzahlung,Heizkostenabrechnung,Spätestens Eilantrag bis dahin,
2026-06-18,Frühester Termin VdK Beratungsstelle,Terminvereinbarung,Anwaltliche Vertretung,
2026-06-23,Klagefrist endet,Berechnung,absolute Frist,Achtung wenn Wochenende
2026-06-30,Fristende Vermieterin für Zahlung,Mahnung Klingspor,Kündigungsrisiko,
